"name","time","lat","lng","altitude","velocity_smooth","grade_smooth"
"China Town - Mictham 26/1/13","4717.10000000000000","51.48386300000000","-0.14961000000000","7.40000000000000","7.22900000000000","3.70000000000000"
"China Town - Mictham 26/1/13","4736.00000000000000","51.48369400000000","-0.14958700000000","8.10000000000000","6.67000000000000","3.20000000000000"
"China Town - Mictham 26/1/13","4754.00000000000000","51.48353300000000","-0.14956600000000","8.50000000000000","6.14200000000000","2.50000000000000"
"China Town - Mictham 26/1/13","4770.50000000000000","51.48338500000000","-0.14955100000000","8.80000000000000","5.74700000000000","1.90000000000000"
"China Town - Mictham 26/1/13","4785.60000000000000","51.48325000000000","-0.14953000000000","9.10000000000000","5.26700000000000","1.60000000000000"
"China Town - Mictham 26/1/13","4802.80000000000000","51.48309700000000","-0.14949600000000","9.40000000000000","5.38100000000000","-0.40000000000000"
"China Town - Mictham 26/1/13","4821.00000000000000","51.48293700000000","-0.14944000000000","9.60000000000000","5.90300000000000","-2.00000000000000"
"China Town - Mictham 26/1/13","4843.20000000000000","51.48274600000000","-0.14934600000000","8.50000000000000","6.74300000000000","-3.50000000000000"
"China Town - Mictham 26/1/13","4861.00000000000000","51.48259100000000","-0.14928800000000","7.60000000000000","6.65800000000000","-4.80000000000000"
"China Town - Mictham 26/1/13","4880.30000000000000","51.48242200000000","-0.14922400000000","6.70000000000000","6.17300000000000","-4.70000000000000"
"China Town - Mictham 26/1/13","4904.60000000000000","51.48220500000000","-0.14918300000000","5.60000000000000","7.27400000000000","-3.20000000000000"
"China Town - Mictham 26/1/13","4918.20000000000000","51.48208400000000","-0.14921200000000","5.00000000000000","6.32200000000000","-1.70000000000000"
"China Town - Mictham 26/1/13","4936.30000000000000","51.48192300000000","-0.14917300000000","5.20000000000000","5.29000000000000","0.00000000000000"
"China Town - Mictham 26/1/13","4956.20000000000000","51.48174900000000","-0.14911000000000","5.40000000000000","6.32900000000000","1.10000000000000"
"China Town - Mictham 26/1/13","4972.00000000000000","51.48160900000000","-0.14906800000000","5.60000000000000","5.95000000000000","1.10000000000000"
"China Town - Mictham 26/1/13","4991.00000000000000","51.48144000000000","-0.14903700000000","5.80000000000000","4.96900000000000","1.40000000000000"
"China Town - Mictham 26/1/13","5018.00000000000000","51.48119900000000","-0.14898900000000","6.10000000000000","6.56600000000000","1.60000000000000"
"China Town - Mictham 26/1/13","5039.50000000000000","51.48100700000000","-0.14895300000000","6.60000000000000","8.09000000000000","1.90000000000000"
"China Town - Mictham 26/1/13","5059.60000000000000","51.48082800000000","-0.14891900000000","7.00000000000000","6.92900000000000","2.00000000000000"
"China Town - Mictham 26/1/13","5085.70000000000000","51.48059400000000","-0.14889600000000","7.60000000000000","7.69200000000000","1.50000000000000"
"China Town - Mictham 26/1/13","5110.10000000000000","51.48037600000000","-0.14886000000000","8.00000000000000","8.41400000000000","1.00000000000000"
"China Town - Mictham 26/1/13","5135.50000000000000","51.48014900000000","-0.14881900000000","8.00000000000000","8.30200000000000","0.40000000000000"
"China Town - Mictham 26/1/13","5161.10000000000000","51.47992000000000","-0.14879000000000","8.00000000000000","8.49800000000000","-0.30000000000000"
